announce_date,stock_code,subject,occurrence_date,terms,search_keyword,search_month,instructions
20260331,2359,代重要子公司富相科技(股)公司公告取得不動產使用權資產(高雄),115/03/31,第20款,不動產使用權,3,"1.標的物之名稱及性質（如坐落台中市北區ＸＸ段ＸＸ小段土地）:
高雄市大寮區大發工業區大業街十八號以及高雄市苓雅區武廟路107號14樓之3。
2.事實發生日:115/4/1~115/4/1
3.董事會通過日期: 不適用
4.其他核決日期:
核決層級:董事長核決
民國115年3月31日
5.交易單位數量（如ＸＸ平方公尺，折合ＸＸ坪）、每單位價格及交易總金額:
(1)租賃共2908.8坪(含公共設施)
(2)租賃期間：2年(自民國115年4月1日至117年3月31日止)
(3)每月房屋租金計新台幣434,402元(未稅)，2年合計新台幣10,425,648元。
(4)使用權資產金額：新台幣10,243,161元。
6.交易相對人及其與公司之關係（交易相對人如屬自然人，且非公司之關
係人者，得免揭露其姓名）:
(1)交易相對人：所羅門股份有限公司
(2)其與公司之關係：關係人
7.交易相對人為關係人者，並應公告選定關係人為交易對象之原因及前次移轉之
所有人、前次移轉之所有人與公司及交易相對人間相互之關係、前次移轉日期
及移轉金額:
(1)基於成本及業務上之整體規劃與管理考量。
(2)前次移轉之所有人：非關係人
(3)前次移轉之所有人與公司及交易相對人間相互之關係：非關係人
(4)前次移轉日期及移轉金額：於民國79年7月至93年4月間購地自建及購買房屋，
   合計金額為新台幣2.43億元
8.交易標的最近五年內所有權人曾為公司之關係人者，尚應公告關係
人之取得及處分日期、價格及交易當時與公司之關係:
不適用
9.預計處分利益（或損失）（取得資產者不適用）（遞延者應列表說明
認列情形）:
不適用
10.交付或付款條件（含付款期間及金額）、契約限制條款及其他重要約定
事項:
(1)交付或付款條件：按月匯款
(2)租賃期間：2年(自民國115年4月1日至117年3月31日止)
(3)契約限制條款及其他重要約定事項：無
11.本次交易之決定方式（如招標、比價或議價）、價格決定之參考依據及
決策單位:
授權董事長決行(依富相公司取得或處分資產處理程序第10條辦理)"
20260331,8077,公告本公司租賃取得自助櫃員機使用權資產。,115/03/31,第20款,租賃,3,"1.標的物之名稱及性質（如坐落台中市北區ＸＸ段ＸＸ小段土地）:
忠孝：台北市大安區忠孝東路四段
南港：台北市南港區忠孝東路七段
2.事實發生日:115/3/31~115/3/31
3.董事會通過日期: 不適用
4.其他核決日期:
核決層級:董事長
民國115年3月31日
5.交易單位數量（如ＸＸ平方公尺，折合ＸＸ坪）、每單位價格及交易總金額:
交易數量：兩組自助櫃員機
交易總金額：使用權資產新台幣1,574,966元(未稅)
6.交易相對人及其與公司之關係（交易相對人如屬自然人，且非公司之關
係人者，得免揭露其姓名）:
非關係人：金旭資訊股份有限公司
7.交易相對人為關係人者，並應公告選定關係人為交易對象之原因及前次移轉之
所有人、前次移轉之所有人與公司及交易相對人間相互之關係、前次移轉日期
及移轉金額:
不適用
8.交易標的最近五年內所有權人曾為公司之關係人者，尚應公告關係
人之取得及處分日期、價格及交易當時與公司之關係:
不適用
9.預計處分利益（或損失）（取得資產者不適用）（遞延者應列表說明
認列情形）:
不適用
10.交付或付款條件（含付款期間及金額）、契約限制條款及其他重要約定
事項:
付款期間：民國115年7月1日起至民國118年06月30日止
付款金額：新台幣1,708,875元(含稅)
契約限制條款及其他重要約定：無
11.本次交易之決定方式（如招標、比價或議價）、價格決定之參考依據及
決策單位:
本次交易之決定方式、價格決定之參考依據：雙方議價。
決策單位：依據本公司核決權限辦理，提董事會追認。"
20260401,2382,"本公司代子公司QuantaManufacturingNashville,LLC公告取得機器設備及租賃改良",115/04/01,第20款,租賃,4,"1.標的物之名稱及性質（如坐落台中市北區ＸＸ段ＸＸ小段土地）:
供營業使用之機器設備及租賃改良
-位於 Fremont, CA, U.S.A. 廠區
2.事實發生日:115/4/1~115/4/1
3.董事會通過日期: 不適用
4.其他核決日期:
核決層級:董事長
民國115年4月1日
5.交易單位數量（如ＸＸ平方公尺，折合ＸＸ坪）、每單位價格及交易總金額:
機器設備及租賃改良 (含設計與工程) 位於Fremont廠區
交易總金額：約美金153,600 千元 
           (折合新台幣約4,827,648千元；匯率:31.43 )
6.交易相對人及其與公司之關係（交易相對人如屬自然人，且非公司之關
係人者，得免揭露其姓名）:
交易相對人：KVC Construction Inc.
與公司之關係：非關係人
7.交易相對人為關係人者，並應公告選定關係人為交易對象之原因及前次移轉之
所有人、前次移轉之所有人與公司及交易相對人間相互之關係、前次移轉日期
及移轉金額:
不適用
8.交易標的最近五年內所有權人曾為公司之關係人者，尚應公告關係
人之取得及處分日期、價格及交易當時與公司之關係:
不適用
9.預計處分利益（或損失）（取得資產者不適用）（遞延者應列表說明
認列情形）:
不適用
10.交付或付款條件（含付款期間及金額）、契約限制條款及其他重要約定
事項:
依合約約定按期付款
11.本次交易之決定方式（如招標、比價或議價）、價格決定之參考依據及
決策單位:
依核決權限辦理"
20260402,2520,代孫公司冠昱生活股份有限公司公告簽訂「高雄車站商業大樓暨車站週邊商業空間遴選出租案」契約,115/04/02,第20款,出租,4,"1.標的物之名稱及性質（如坐落台中市北區ＸＸ段ＸＸ小段土地）:
「高雄車站商業大樓暨車站週邊商業空間遴選出租案」之不動產使用權資產取得。
2.事實發生日:115/4/2~115/4/2
3.董事會通過日期: 民國115年4月2日
4.其他核決日期: 不適用
5.交易單位數量（如ＸＸ平方公尺，折合ＸＸ坪）、每單位價格及交易總金額:
(1)交易單位數量：53,777.41平方公尺。
(2)交易總金額：使用權資產為新台幣 2,144,522仟元
6.交易相對人及其與公司之關係（交易相對人如屬自然人，且非公司之關
係人者，得免揭露其姓名）:
國營臺灣鐵路股份有限公司，非關係人
7.交易相對人為關係人者，並應公告選定關係人為交易對象之原因及前次移轉之
所有人、前次移轉之所有人與公司及交易相對人間相互之關係、前次移轉日期
及移轉金額:
不適用
8.交易標的最近五年內所有權人曾為公司之關係人者，尚應公告關係
人之取得及處分日期、價格及交易當時與公司之關係:
不適用
9.預計處分利益（或損失）（取得資產者不適用）（遞延者應列表說明
認列情形）:
不適用
10.交付或付款條件（含付款期間及金額）、契約限制條款及其他重要約定
事項:
(1)交付或付款條件：依合約規定
(2)契約限制條款及其他重要約定事項：無
11.本次交易之決定方式（如招標、比價或議價）、價格決定之參考依據及
決策單位:
(1)本次交易之決定方式：議價
(2)價格決定之參考依據：參考市場行情及專業估價資料
(3)決策單位：經營團隊、董事會"
20260330,1563,代子公司伽億(股)公司公告租地委建供營業使用之廠房機電工程,115/03/30,第20款,委建,3,"1.契約種類:租地委建
2.事實發生日:115/3/30~115/3/30
3.董事會通過日期: 不適用
4.其他核決日期:
核決層級:董事長核決
民國115年03月30日
5.契約相對人及其與公司之關係:
交易相對人：國貫機電有限公司
與公司之關係：無
6.契約主要內容（含契約總金額、預計參與投入之金額及契約起迄日期）
、限制條款及其他重要約定事項:
契約總金額：NTD94,990,000元(未稅)
預計參與投入之金額：NTD94,990,000元(未稅)
契約起迄日期：自簽訂之日起生效至全部工程完竣驗收保固期滿之日止
限制條款及其他重要約定事項：無
7.專業估價者事務所或公司名稱及其估價結果:
不適用
8.不動產估價師姓名:
不適用
9.不動產估價師開業證書字號:
不適用
10.取得之具體目的:
供營業使用之廠房機電工程
11.本次交易表示異議之董事意見:
不適用"
20260402,3703,代子公司大陸建設股份有限公司公告新竹縣竹北市大學段新建大樓委建相關事宜,115/04/02,第20款,委建,4,"1.契約種類:委建契約
2.事實發生日:115/4/2~115/4/2
3.董事會通過日期: 民國115年4月2日
4.其他核決日期: 不適用
5.契約相對人及其與公司之關係:
大陸工程股份有限公司，聯屬公司。
6.契約主要內容（含契約總金額、預計參與投入之金額及契約起迄日期）
、限制條款及其他重要約定事項:
1.契約總金額：總價新台幣42億3,318萬元(含稅)。
2.契約起訖日期：自申報開工核准日起至取得使用執照日止共64個月
(至完成本合約工程所有事項，進行驗收則共為66個月)施工期。
3.其他約定事項：無。
7.專業估價者事務所或公司名稱及其估價結果:
不適用
8.不動產估價師姓名:
不適用
9.不動產估價師開業證書字號:
不適用
10.取得之具體目的:
不動產開發
11.本次交易表示異議之董事意見:
無"
20260401,7795,"(補充公告)代重要子公司日本Nikko-MaterialsCo.,Ltd.公告自地委建興建廠房(一年內累計達新台幣5億元)",115/04/01,第20款,委建,4,"1.契約種類:自地委建
2.事實發生日:114/9/19~115/4/1
3.董事會通過日期: 民國115年3月31日
4.其他核決日期:
核決層級:(補充115年3月31日公告)經本公司董事會決議通過
民國115年04月01日
5.契約相對人及其與公司之關係:
Daiwa House Industry Co., Ltd. (非關係人)
6.契約主要內容（含契約總金額、預計參與投入之金額及契約起迄日期）
、限制條款及其他重要約定事項:
1.累計金額JPY 9,362,424千元，約合新台幣1,873,608千元，
包含取得土地及相關必要費用與本次董事會通過委託興建廠房預算。
2.重要約定事項：
(1)子公司日本Nikko-Materials Co., Ltd.(下稱NM公司)
委託承包商Daiwa House Industry Co., Ltd.取得坐落於
日本愛知縣豐田地區土地並新建廠房相關工程。
(2)內容包含統籌土地購置與開發申請、整地調查測量、
設備移設、土木及建築工程與現有舊廠房復原等，
由NM公司按工程進度付款。
7.專業估價者事務所或公司名稱及其估價結果:
不適用
8.不動產估價師姓名:
不適用
9.不動產估價師開業證書字號:
不適用
10.取得之具體目的:
供生產及營運使用
11.本次交易表示異議之董事意見:
無"
